# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190501-20190522
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Пользователи
000152,01.05.2019 - 22.05.2019,Все пользователи,163
000152,01.05.2019 - 22.05.2019,Новые пользователи,105
000152,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000153,01.05.2019 - 22.05.2019,Все пользователи,162
000153,01.05.2019 - 22.05.2019,Новые пользователи,100
000153,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000154,01.05.2019 - 22.05.2019,Все пользователи,178
000154,01.05.2019 - 22.05.2019,Новые пользователи,109
000154,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,36
000155,01.05.2019 - 22.05.2019,Все пользователи,251
000155,01.05.2019 - 22.05.2019,Новые пользователи,174
000155,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,45
000156,01.05.2019 - 22.05.2019,Все пользователи,273
000156,01.05.2019 - 22.05.2019,Новые пользователи,198
000156,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,47
000157,01.05.2019 - 22.05.2019,Все пользователи,229
000157,01.05.2019 - 22.05.2019,Новые пользователи,147
000157,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,42
000158,01.05.2019 - 22.05.2019,Все пользователи,181
000158,01.05.2019 - 22.05.2019,Новые пользователи,107
000158,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,41
000159,01.05.2019 - 22.05.2019,Все пользователи,161
000159,01.05.2019 - 22.05.2019,Новые пользователи,101
000159,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000160,01.05.2019 - 22.05.2019,Все пользователи,166
000160,01.05.2019 - 22.05.2019,Новые пользователи,113
000160,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,46
000161,01.05.2019 - 22.05.2019,Все пользователи,132
000161,01.05.2019 - 22.05.2019,Новые пользователи,93
000161,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,42
000162,01.05.2019 - 22.05.2019,Все пользователи,125
000162,01.05.2019 - 22.05.2019,Новые пользователи,98
000162,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000163,01.05.2019 - 22.05.2019,Все пользователи,128
000163,01.05.2019 - 22.05.2019,Новые пользователи,92
000163,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,48
000164,01.05.2019 - 22.05.2019,Все пользователи,124
000164,01.05.2019 - 22.05.2019,Новые пользователи,86
000164,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000165,01.05.2019 - 22.05.2019,Все пользователи,112
000165,01.05.2019 - 22.05.2019,Новые пользователи,78
000165,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000166,01.05.2019 - 22.05.2019,Все пользователи,100
000166,01.05.2019 - 22.05.2019,Новые пользователи,56
000166,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000167,01.05.2019 - 22.05.2019,Все пользователи,101
000167,01.05.2019 - 22.05.2019,Новые пользователи,79
000167,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000168,01.05.2019 - 22.05.2019,Все пользователи,95
000168,01.05.2019 - 22.05.2019,Новые пользователи,70
000168,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000169,01.05.2019 - 22.05.2019,Все пользователи,84
000169,01.05.2019 - 22.05.2019,Новые пользователи,63
000169,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000170,01.05.2019 - 22.05.2019,Все пользователи,97
000170,01.05.2019 - 22.05.2019,Новые пользователи,74
000170,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000171,01.05.2019 - 22.05.2019,Все пользователи,105
000171,01.05.2019 - 22.05.2019,Новые пользователи,81
000171,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000172,01.05.2019 - 22.05.2019,Все пользователи,88
000172,01.05.2019 - 22.05.2019,Новые пользователи,67
000172,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000173,01.05.2019 - 22.05.2019,Все пользователи,84
000173,01.05.2019 - 22.05.2019,Новые пользователи,63
000173,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000174,01.05.2019 - 22.05.2019,Все пользователи,155
000174,01.05.2019 - 22.05.2019,Новые пользователи,110
000174,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000175,01.05.2019 - 22.05.2019,Все пользователи,166
000175,01.05.2019 - 22.05.2019,Новые пользователи,125
000175,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000176,01.05.2019 - 22.05.2019,Все пользователи,165
000176,01.05.2019 - 22.05.2019,Новые пользователи,121
000176,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000177,01.05.2019 - 22.05.2019,Все пользователи,180
000177,01.05.2019 - 22.05.2019,Новые пользователи,130
000177,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,46
000178,01.05.2019 - 22.05.2019,Все пользователи,171
000178,01.05.2019 - 22.05.2019,Новые пользователи,110
000178,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000179,01.05.2019 - 22.05.2019,Все пользователи,169
000179,01.05.2019 - 22.05.2019,Новые пользователи,100
000179,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000180,01.05.2019 - 22.05.2019,Все пользователи,158
000180,01.05.2019 - 22.05.2019,Новые пользователи,107
000180,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,41
000181,01.05.2019 - 22.05.2019,Все пользователи,201
000181,01.05.2019 - 22.05.2019,Новые пользователи,144
000181,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,73
000182,01.05.2019 - 22.05.2019,Все пользователи,169
000182,01.05.2019 - 22.05.2019,Новые пользователи,123
000182,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,56
000183,01.05.2019 - 22.05.2019,Все пользователи,124
000183,01.05.2019 - 22.05.2019,Новые пользователи,75
000183,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000184,01.05.2019 - 22.05.2019,Все пользователи,122
000184,01.05.2019 - 22.05.2019,Новые пользователи,87
000184,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,45
000185,01.05.2019 - 22.05.2019,Все пользователи,145
000185,01.05.2019 - 22.05.2019,Новые пользователи,117
000185,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,46
000186,01.05.2019 - 22.05.2019,Все пользователи,130
000186,01.05.2019 - 22.05.2019,Новые пользователи,91
000186,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,53
000187,01.05.2019 - 22.05.2019,Все пользователи,100
000187,01.05.2019 - 22.05.2019,Новые пользователи,72
000187,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000188,01.05.2019 - 22.05.2019,Все пользователи,115
000188,01.05.2019 - 22.05.2019,Новые пользователи,81
000188,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,43
000189,01.05.2019 - 22.05.2019,Все пользователи,126
000189,01.05.2019 - 22.05.2019,Новые пользователи,96
000189,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,44
000190,01.05.2019 - 22.05.2019,Все пользователи,111
000190,01.05.2019 - 22.05.2019,Новые пользователи,85
000190,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000191,01.05.2019 - 22.05.2019,Все пользователи,117
000191,01.05.2019 - 22.05.2019,Новые пользователи,81
000191,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,43
000192,01.05.2019 - 22.05.2019,Все пользователи,98
000192,01.05.2019 - 22.05.2019,Новые пользователи,77
000192,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000193,01.05.2019 - 22.05.2019,Все пользователи,101
000193,01.05.2019 - 22.05.2019,Новые пользователи,73
000193,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000194,01.05.2019 - 22.05.2019,Все пользователи,96
000194,01.05.2019 - 22.05.2019,Новые пользователи,72
000194,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000195,01.05.2019 - 22.05.2019,Все пользователи,102
000195,01.05.2019 - 22.05.2019,Новые пользователи,82
000195,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000196,01.05.2019 - 22.05.2019,Все пользователи,88
000196,01.05.2019 - 22.05.2019,Новые пользователи,66
000196,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000197,01.05.2019 - 22.05.2019,Все пользователи,103
000197,01.05.2019 - 22.05.2019,Новые пользователи,75
000197,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000198,01.05.2019 - 22.05.2019,Все пользователи,140
000198,01.05.2019 - 22.05.2019,Новые пользователи,102
000198,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000199,01.05.2019 - 22.05.2019,Все пользователи,164
000199,01.05.2019 - 22.05.2019,Новые пользователи,117
000199,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,43
000200,01.05.2019 - 22.05.2019,Все пользователи,140
000200,01.05.2019 - 22.05.2019,Новые пользователи,89
000200,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000201,01.05.2019 - 22.05.2019,Все пользователи,173
000201,01.05.2019 - 22.05.2019,Новые пользователи,101
000201,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,42
000202,01.05.2019 - 22.05.2019,Все пользователи,200
000202,01.05.2019 - 22.05.2019,Новые пользователи,134
000202,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,57
000203,01.05.2019 - 22.05.2019,Все пользователи,204
000203,01.05.2019 - 22.05.2019,Новые пользователи,145
000203,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,66
000204,01.05.2019 - 22.05.2019,Все пользователи,168
000204,01.05.2019 - 22.05.2019,Новые пользователи,105
000204,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,45
000205,01.05.2019 - 22.05.2019,Все пользователи,181
000205,01.05.2019 - 22.05.2019,Новые пользователи,117
000205,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,57
000206,01.05.2019 - 22.05.2019,Все пользователи,157
000206,01.05.2019 - 22.05.2019,Новые пользователи,109
000206,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,52
000207,01.05.2019 - 22.05.2019,Все пользователи,146
000207,01.05.2019 - 22.05.2019,Новые пользователи,103
000207,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,37
000208,01.05.2019 - 22.05.2019,Все пользователи,133
000208,01.05.2019 - 22.05.2019,Новые пользователи,94
000208,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,49
000209,01.05.2019 - 22.05.2019,Все пользователи,124
000209,01.05.2019 - 22.05.2019,Новые пользователи,91
000209,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,49
000210,01.05.2019 - 22.05.2019,Все пользователи,116
000210,01.05.2019 - 22.05.2019,Новые пользователи,81
000210,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,47
000211,01.05.2019 - 22.05.2019,Все пользователи,104
000211,01.05.2019 - 22.05.2019,Новые пользователи,73
000211,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,37
000212,01.05.2019 - 22.05.2019,Все пользователи,81
000212,01.05.2019 - 22.05.2019,Новые пользователи,56
000212,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000213,01.05.2019 - 22.05.2019,Все пользователи,86
000213,01.05.2019 - 22.05.2019,Новые пользователи,57
000213,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000214,01.05.2019 - 22.05.2019,Все пользователи,88
000214,01.05.2019 - 22.05.2019,Новые пользователи,64
000214,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000215,01.05.2019 - 22.05.2019,Все пользователи,88
000215,01.05.2019 - 22.05.2019,Новые пользователи,62
000215,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000216,01.05.2019 - 22.05.2019,Все пользователи,71
000216,01.05.2019 - 22.05.2019,Новые пользователи,55
000216,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000217,01.05.2019 - 22.05.2019,Все пользователи,88
000217,01.05.2019 - 22.05.2019,Новые пользователи,74
000217,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000218,01.05.2019 - 22.05.2019,Все пользователи,92
000218,01.05.2019 - 22.05.2019,Новые пользователи,69
000218,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000219,01.05.2019 - 22.05.2019,Все пользователи,113
000219,01.05.2019 - 22.05.2019,Новые пользователи,96
000219,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000220,01.05.2019 - 22.05.2019,Все пользователи,108
000220,01.05.2019 - 22.05.2019,Новые пользователи,76
000220,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000221,01.05.2019 - 22.05.2019,Все пользователи,115
000221,01.05.2019 - 22.05.2019,Новые пользователи,87
000221,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000222,01.05.2019 - 22.05.2019,Все пользователи,137
000222,01.05.2019 - 22.05.2019,Новые пользователи,94
000222,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,50
000223,01.05.2019 - 22.05.2019,Все пользователи,152
000223,01.05.2019 - 22.05.2019,Новые пользователи,115
000223,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,43
000224,01.05.2019 - 22.05.2019,Все пользователи,177
000224,01.05.2019 - 22.05.2019,Новые пользователи,133
000224,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000225,01.05.2019 - 22.05.2019,Все пользователи,164
000225,01.05.2019 - 22.05.2019,Новые пользователи,109
000225,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,47
000226,01.05.2019 - 22.05.2019,Все пользователи,166
000226,01.05.2019 - 22.05.2019,Новые пользователи,113
000226,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000227,01.05.2019 - 22.05.2019,Все пользователи,174
000227,01.05.2019 - 22.05.2019,Новые пользователи,114
000227,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,41
000228,01.05.2019 - 22.05.2019,Все пользователи,135
000228,01.05.2019 - 22.05.2019,Новые пользователи,93
000228,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000229,01.05.2019 - 22.05.2019,Все пользователи,166
000229,01.05.2019 - 22.05.2019,Новые пользователи,106
000229,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000230,01.05.2019 - 22.05.2019,Все пользователи,126
000230,01.05.2019 - 22.05.2019,Новые пользователи,84
000230,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000231,01.05.2019 - 22.05.2019,Все пользователи,113
000231,01.05.2019 - 22.05.2019,Новые пользователи,67
000231,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000232,01.05.2019 - 22.05.2019,Все пользователи,86
000232,01.05.2019 - 22.05.2019,Новые пользователи,56
000232,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000233,01.05.2019 - 22.05.2019,Все пользователи,82
000233,01.05.2019 - 22.05.2019,Новые пользователи,50
000233,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000234,01.05.2019 - 22.05.2019,Все пользователи,90
000234,01.05.2019 - 22.05.2019,Новые пользователи,59
000234,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000235,01.05.2019 - 22.05.2019,Все пользователи,84
000235,01.05.2019 - 22.05.2019,Новые пользователи,54
000235,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000236,01.05.2019 - 22.05.2019,Все пользователи,88
000236,01.05.2019 - 22.05.2019,Новые пользователи,66
000236,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000237,01.05.2019 - 22.05.2019,Все пользователи,70
000237,01.05.2019 - 22.05.2019,Новые пользователи,47
000237,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000238,01.05.2019 - 22.05.2019,Все пользователи,83
000238,01.05.2019 - 22.05.2019,Новые пользователи,49
000238,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000239,01.05.2019 - 22.05.2019,Все пользователи,70
000239,01.05.2019 - 22.05.2019,Новые пользователи,41
000239,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000240,01.05.2019 - 22.05.2019,Все пользователи,70
000240,01.05.2019 - 22.05.2019,Новые пользователи,47
000240,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000241,01.05.2019 - 22.05.2019,Все пользователи,88
000241,01.05.2019 - 22.05.2019,Новые пользователи,68
000241,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000242,01.05.2019 - 22.05.2019,Все пользователи,85
000242,01.05.2019 - 22.05.2019,Новые пользователи,64
000242,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000243,01.05.2019 - 22.05.2019,Все пользователи,103
000243,01.05.2019 - 22.05.2019,Новые пользователи,89
000243,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000244,01.05.2019 - 22.05.2019,Все пользователи,93
000244,01.05.2019 - 22.05.2019,Новые пользователи,68
000244,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000245,01.05.2019 - 22.05.2019,Все пользователи,56
000245,01.05.2019 - 22.05.2019,Новые пользователи,36
000245,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000246,01.05.2019 - 22.05.2019,Все пользователи,65
000246,01.05.2019 - 22.05.2019,Новые пользователи,43
000246,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000247,01.05.2019 - 22.05.2019,Все пользователи,72
000247,01.05.2019 - 22.05.2019,Новые пользователи,54
000247,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000248,01.05.2019 - 22.05.2019,Все пользователи,93
000248,01.05.2019 - 22.05.2019,Новые пользователи,72
000248,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000249,01.05.2019 - 22.05.2019,Все пользователи,81
000249,01.05.2019 - 22.05.2019,Новые пользователи,66
000249,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000250,01.05.2019 - 22.05.2019,Все пользователи,97
000250,01.05.2019 - 22.05.2019,Новые пользователи,71
000250,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000251,01.05.2019 - 22.05.2019,Все пользователи,95
000251,01.05.2019 - 22.05.2019,Новые пользователи,72
000251,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,37
000252,01.05.2019 - 22.05.2019,Все пользователи,75
000252,01.05.2019 - 22.05.2019,Новые пользователи,59
000252,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000253,01.05.2019 - 22.05.2019,Все пользователи,77
000253,01.05.2019 - 22.05.2019,Новые пользователи,61
000253,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000254,01.05.2019 - 22.05.2019,Все пользователи,62
000254,01.05.2019 - 22.05.2019,Новые пользователи,39
000254,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000255,01.05.2019 - 22.05.2019,Все пользователи,60
000255,01.05.2019 - 22.05.2019,Новые пользователи,45
000255,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000256,01.05.2019 - 22.05.2019,Все пользователи,63
000256,01.05.2019 - 22.05.2019,Новые пользователи,47
000256,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000257,01.05.2019 - 22.05.2019,Все пользователи,72
000257,01.05.2019 - 22.05.2019,Новые пользователи,52
000257,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000258,01.05.2019 - 22.05.2019,Все пользователи,61
000258,01.05.2019 - 22.05.2019,Новые пользователи,45
000258,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000259,01.05.2019 - 22.05.2019,Все пользователи,66
000259,01.05.2019 - 22.05.2019,Новые пользователи,45
000259,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000260,01.05.2019 - 22.05.2019,Все пользователи,70
000260,01.05.2019 - 22.05.2019,Новые пользователи,50
000260,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000261,01.05.2019 - 22.05.2019,Все пользователи,58
000261,01.05.2019 - 22.05.2019,Новые пользователи,40
000261,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000262,01.05.2019 - 22.05.2019,Все пользователи,52
000262,01.05.2019 - 22.05.2019,Новые пользователи,33
000262,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000263,01.05.2019 - 22.05.2019,Все пользователи,48
000263,01.05.2019 - 22.05.2019,Новые пользователи,31
000263,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000264,01.05.2019 - 22.05.2019,Все пользователи,53
000264,01.05.2019 - 22.05.2019,Новые пользователи,36
000264,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000265,01.05.2019 - 22.05.2019,Все пользователи,102
000265,01.05.2019 - 22.05.2019,Новые пользователи,86
000265,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000266,01.05.2019 - 22.05.2019,Все пользователи,48
000266,01.05.2019 - 22.05.2019,Новые пользователи,27
000266,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000267,01.05.2019 - 22.05.2019,Все пользователи,47
000267,01.05.2019 - 22.05.2019,Новые пользователи,37
000267,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000268,01.05.2019 - 22.05.2019,Все пользователи,77
000268,01.05.2019 - 22.05.2019,Новые пользователи,59
000268,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000269,01.05.2019 - 22.05.2019,Все пользователи,62
000269,01.05.2019 - 22.05.2019,Новые пользователи,48
000269,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000270,01.05.2019 - 22.05.2019,Все пользователи,73
000270,01.05.2019 - 22.05.2019,Новые пользователи,48
000270,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000271,01.05.2019 - 22.05.2019,Все пользователи,75
000271,01.05.2019 - 22.05.2019,Новые пользователи,59
000271,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000272,01.05.2019 - 22.05.2019,Все пользователи,69
000272,01.05.2019 - 22.05.2019,Новые пользователи,51
000272,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000273,01.05.2019 - 22.05.2019,Все пользователи,80
000273,01.05.2019 - 22.05.2019,Новые пользователи,58
000273,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000274,01.05.2019 - 22.05.2019,Все пользователи,84
000274,01.05.2019 - 22.05.2019,Новые пользователи,63
000274,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000275,01.05.2019 - 22.05.2019,Все пользователи,77
000275,01.05.2019 - 22.05.2019,Новые пользователи,52
000275,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000276,01.05.2019 - 22.05.2019,Все пользователи,97
000276,01.05.2019 - 22.05.2019,Новые пользователи,65
000276,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000277,01.05.2019 - 22.05.2019,Все пользователи,79
000277,01.05.2019 - 22.05.2019,Новые пользователи,55
000277,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000278,01.05.2019 - 22.05.2019,Все пользователи,69
000278,01.05.2019 - 22.05.2019,Новые пользователи,54
000278,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000279,01.05.2019 - 22.05.2019,Все пользователи,66
000279,01.05.2019 - 22.05.2019,Новые пользователи,47
000279,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000280,01.05.2019 - 22.05.2019,Все пользователи,83
000280,01.05.2019 - 22.05.2019,Новые пользователи,59
000280,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000281,01.05.2019 - 22.05.2019,Все пользователи,61
000281,01.05.2019 - 22.05.2019,Новые пользователи,44
000281,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000282,01.05.2019 - 22.05.2019,Все пользователи,58
000282,01.05.2019 - 22.05.2019,Новые пользователи,37
000282,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000283,01.05.2019 - 22.05.2019,Все пользователи,77
000283,01.05.2019 - 22.05.2019,Новые пользователи,60
000283,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000284,01.05.2019 - 22.05.2019,Все пользователи,72
000284,01.05.2019 - 22.05.2019,Новые пользователи,57
000284,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000285,01.05.2019 - 22.05.2019,Все пользователи,68
000285,01.05.2019 - 22.05.2019,Новые пользователи,46
000285,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000286,01.05.2019 - 22.05.2019,Все пользователи,66
000286,01.05.2019 - 22.05.2019,Новые пользователи,42
000286,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,15
000287,01.05.2019 - 22.05.2019,Все пользователи,92
000287,01.05.2019 - 22.05.2019,Новые пользователи,71
000287,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000288,01.05.2019 - 22.05.2019,Все пользователи,69
000288,01.05.2019 - 22.05.2019,Новые пользователи,59
000288,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000289,01.05.2019 - 22.05.2019,Все пользователи,68
000289,01.05.2019 - 22.05.2019,Новые пользователи,52
000289,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000290,01.05.2019 - 22.05.2019,Все пользователи,80
000290,01.05.2019 - 22.05.2019,Новые пользователи,61
000290,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,8
000291,01.05.2019 - 22.05.2019,Все пользователи,89
000291,01.05.2019 - 22.05.2019,Новые пользователи,65
000291,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000292,01.05.2019 - 22.05.2019,Все пользователи,84
000292,01.05.2019 - 22.05.2019,Новые пользователи,66
000292,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000293,01.05.2019 - 22.05.2019,Все пользователи,100
000293,01.05.2019 - 22.05.2019,Новые пользователи,75
000293,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000294,01.05.2019 - 22.05.2019,Все пользователи,138
000294,01.05.2019 - 22.05.2019,Новые пользователи,104
000294,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000295,01.05.2019 - 22.05.2019,Все пользователи,135
000295,01.05.2019 - 22.05.2019,Новые пользователи,99
000295,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000296,01.05.2019 - 22.05.2019,Все пользователи,172
000296,01.05.2019 - 22.05.2019,Новые пользователи,126
000296,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000297,01.05.2019 - 22.05.2019,Все пользователи,154
000297,01.05.2019 - 22.05.2019,Новые пользователи,105
000297,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000298,01.05.2019 - 22.05.2019,Все пользователи,191
000298,01.05.2019 - 22.05.2019,Новые пользователи,134
000298,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000299,01.05.2019 - 22.05.2019,Все пользователи,171
000299,01.05.2019 - 22.05.2019,Новые пользователи,111
000299,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000300,01.05.2019 - 22.05.2019,Все пользователи,152
000300,01.05.2019 - 22.05.2019,Новые пользователи,85
000300,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000301,01.05.2019 - 22.05.2019,Все пользователи,137
000301,01.05.2019 - 22.05.2019,Новые пользователи,97
000301,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000302,01.05.2019 - 22.05.2019,Все пользователи,123
000302,01.05.2019 - 22.05.2019,Новые пользователи,80
000302,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000303,01.05.2019 - 22.05.2019,Все пользователи,131
000303,01.05.2019 - 22.05.2019,Новые пользователи,88
000303,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000304,01.05.2019 - 22.05.2019,Все пользователи,131
000304,01.05.2019 - 22.05.2019,Новые пользователи,76
000304,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
