# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190501-20190522
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Пользователи
000029,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000030,01.05.2019 - 22.05.2019,Все пользователи,143
000030,01.05.2019 - 22.05.2019,Новые пользователи,109
000030,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000031,01.05.2019 - 22.05.2019,Все пользователи,186
000031,01.05.2019 - 22.05.2019,Новые пользователи,144
000031,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000032,01.05.2019 - 22.05.2019,Все пользователи,135
000032,01.05.2019 - 22.05.2019,Новые пользователи,99
000032,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000033,01.05.2019 - 22.05.2019,Все пользователи,149
000033,01.05.2019 - 22.05.2019,Новые пользователи,106
000033,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000034,01.05.2019 - 22.05.2019,Все пользователи,186
000034,01.05.2019 - 22.05.2019,Новые пользователи,129
000034,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,52
000035,01.05.2019 - 22.05.2019,Все пользователи,137
000035,01.05.2019 - 22.05.2019,Новые пользователи,104
000035,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000036,01.05.2019 - 22.05.2019,Все пользователи,143
000036,01.05.2019 - 22.05.2019,Новые пользователи,97
000036,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000037,01.05.2019 - 22.05.2019,Все пользователи,152
000037,01.05.2019 - 22.05.2019,Новые пользователи,106
000037,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000038,01.05.2019 - 22.05.2019,Все пользователи,101
000038,01.05.2019 - 22.05.2019,Новые пользователи,62
000038,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000039,01.05.2019 - 22.05.2019,Все пользователи,109
000039,01.05.2019 - 22.05.2019,Новые пользователи,74
000039,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000040,01.05.2019 - 22.05.2019,Все пользователи,72
000040,01.05.2019 - 22.05.2019,Новые пользователи,47
000040,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000041,01.05.2019 - 22.05.2019,Все пользователи,104
000041,01.05.2019 - 22.05.2019,Новые пользователи,72
000041,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000042,01.05.2019 - 22.05.2019,Все пользователи,93
000042,01.05.2019 - 22.05.2019,Новые пользователи,63
000042,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000043,01.05.2019 - 22.05.2019,Все пользователи,78
000043,01.05.2019 - 22.05.2019,Новые пользователи,54
000043,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000044,01.05.2019 - 22.05.2019,Все пользователи,86
000044,01.05.2019 - 22.05.2019,Новые пользователи,59
000044,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000045,01.05.2019 - 22.05.2019,Все пользователи,98
000045,01.05.2019 - 22.05.2019,Новые пользователи,58
000045,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000046,01.05.2019 - 22.05.2019,Все пользователи,79
000046,01.05.2019 - 22.05.2019,Новые пользователи,46
000046,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000047,01.05.2019 - 22.05.2019,Все пользователи,92
000047,01.05.2019 - 22.05.2019,Новые пользователи,70
000047,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000048,01.05.2019 - 22.05.2019,Все пользователи,91
000048,01.05.2019 - 22.05.2019,Новые пользователи,77
000048,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000049,01.05.2019 - 22.05.2019,Все пользователи,64
000049,01.05.2019 - 22.05.2019,Новые пользователи,54
000049,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000050,01.05.2019 - 22.05.2019,Все пользователи,88
000050,01.05.2019 - 22.05.2019,Новые пользователи,64
000050,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000051,01.05.2019 - 22.05.2019,Все пользователи,73
000051,01.05.2019 - 22.05.2019,Новые пользователи,58
000051,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000052,01.05.2019 - 22.05.2019,Все пользователи,94
000052,01.05.2019 - 22.05.2019,Новые пользователи,71
000052,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000053,01.05.2019 - 22.05.2019,Все пользователи,99
000053,01.05.2019 - 22.05.2019,Новые пользователи,79
000053,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000054,01.05.2019 - 22.05.2019,Все пользователи,92
000054,01.05.2019 - 22.05.2019,Новые пользователи,63
000054,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000055,01.05.2019 - 22.05.2019,Все пользователи,135
000055,01.05.2019 - 22.05.2019,Новые пользователи,105
000055,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000056,01.05.2019 - 22.05.2019,Все пользователи,151
000056,01.05.2019 - 22.05.2019,Новые пользователи,102
000056,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000057,01.05.2019 - 22.05.2019,Все пользователи,219
000057,01.05.2019 - 22.05.2019,Новые пользователи,158
000057,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,41
000058,01.05.2019 - 22.05.2019,Все пользователи,157
000058,01.05.2019 - 22.05.2019,Новые пользователи,106
000058,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000059,01.05.2019 - 22.05.2019,Все пользователи,207
000059,01.05.2019 - 22.05.2019,Новые пользователи,150
000059,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000060,01.05.2019 - 22.05.2019,Все пользователи,158
000060,01.05.2019 - 22.05.2019,Новые пользователи,96
000060,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000061,01.05.2019 - 22.05.2019,Все пользователи,176
000061,01.05.2019 - 22.05.2019,Новые пользователи,138
000061,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000062,01.05.2019 - 22.05.2019,Все пользователи,138
000062,01.05.2019 - 22.05.2019,Новые пользователи,90
000062,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000063,01.05.2019 - 22.05.2019,Все пользователи,140
000063,01.05.2019 - 22.05.2019,Новые пользователи,92
000063,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000064,01.05.2019 - 22.05.2019,Все пользователи,116
000064,01.05.2019 - 22.05.2019,Новые пользователи,78
000064,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000065,01.05.2019 - 22.05.2019,Все пользователи,86
000065,01.05.2019 - 22.05.2019,Новые пользователи,53
000065,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000066,01.05.2019 - 22.05.2019,Все пользователи,72
000066,01.05.2019 - 22.05.2019,Новые пользователи,54
000066,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000067,01.05.2019 - 22.05.2019,Все пользователи,73
000067,01.05.2019 - 22.05.2019,Новые пользователи,61
000067,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000068,01.05.2019 - 22.05.2019,Все пользователи,74
000068,01.05.2019 - 22.05.2019,Новые пользователи,49
000068,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000069,01.05.2019 - 22.05.2019,Все пользователи,63
000069,01.05.2019 - 22.05.2019,Новые пользователи,44
000069,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000070,01.05.2019 - 22.05.2019,Все пользователи,66
000070,01.05.2019 - 22.05.2019,Новые пользователи,48
000070,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000071,01.05.2019 - 22.05.2019,Все пользователи,73
000071,01.05.2019 - 22.05.2019,Новые пользователи,54
000071,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000072,01.05.2019 - 22.05.2019,Все пользователи,80
000072,01.05.2019 - 22.05.2019,Новые пользователи,61
000072,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000073,01.05.2019 - 22.05.2019,Все пользователи,111
000073,01.05.2019 - 22.05.2019,Новые пользователи,86
000073,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000074,01.05.2019 - 22.05.2019,Все пользователи,100
000074,01.05.2019 - 22.05.2019,Новые пользователи,77
000074,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000075,01.05.2019 - 22.05.2019,Все пользователи,58
000075,01.05.2019 - 22.05.2019,Новые пользователи,43
000075,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000076,01.05.2019 - 22.05.2019,Все пользователи,114
000076,01.05.2019 - 22.05.2019,Новые пользователи,70
000076,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,44
000077,01.05.2019 - 22.05.2019,Все пользователи,73
000077,01.05.2019 - 22.05.2019,Новые пользователи,59
000077,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,36
000078,01.05.2019 - 22.05.2019,Все пользователи,78
000078,01.05.2019 - 22.05.2019,Новые пользователи,61
000078,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000079,01.05.2019 - 22.05.2019,Все пользователи,85
000079,01.05.2019 - 22.05.2019,Новые пользователи,64
000079,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000080,01.05.2019 - 22.05.2019,Все пользователи,69
000080,01.05.2019 - 22.05.2019,Новые пользователи,51
000080,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000081,01.05.2019 - 22.05.2019,Все пользователи,81
000081,01.05.2019 - 22.05.2019,Новые пользователи,64
000081,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000082,01.05.2019 - 22.05.2019,Все пользователи,85
000082,01.05.2019 - 22.05.2019,Новые пользователи,62
000082,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000083,01.05.2019 - 22.05.2019,Все пользователи,65
000083,01.05.2019 - 22.05.2019,Новые пользователи,50
000083,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000084,01.05.2019 - 22.05.2019,Все пользователи,86
000084,01.05.2019 - 22.05.2019,Новые пользователи,65
000084,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000085,01.05.2019 - 22.05.2019,Все пользователи,82
000085,01.05.2019 - 22.05.2019,Новые пользователи,55
000085,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000086,01.05.2019 - 22.05.2019,Все пользователи,71
000086,01.05.2019 - 22.05.2019,Новые пользователи,56
000086,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000087,01.05.2019 - 22.05.2019,Все пользователи,77
000087,01.05.2019 - 22.05.2019,Новые пользователи,53
000087,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000088,01.05.2019 - 22.05.2019,Все пользователи,48
000088,01.05.2019 - 22.05.2019,Новые пользователи,28
000088,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000089,01.05.2019 - 22.05.2019,Все пользователи,51
000089,01.05.2019 - 22.05.2019,Новые пользователи,38
000089,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000090,01.05.2019 - 22.05.2019,Все пользователи,58
000090,01.05.2019 - 22.05.2019,Новые пользователи,39
000090,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000091,01.05.2019 - 22.05.2019,Все пользователи,67
000091,01.05.2019 - 22.05.2019,Новые пользователи,48
000091,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000092,01.05.2019 - 22.05.2019,Все пользователи,63
000092,01.05.2019 - 22.05.2019,Новые пользователи,50
000092,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000093,01.05.2019 - 22.05.2019,Все пользователи,65
000093,01.05.2019 - 22.05.2019,Новые пользователи,42
000093,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000094,01.05.2019 - 22.05.2019,Все пользователи,65
000094,01.05.2019 - 22.05.2019,Новые пользователи,49
000094,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000095,01.05.2019 - 22.05.2019,Все пользователи,61
000095,01.05.2019 - 22.05.2019,Новые пользователи,43
000095,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000096,01.05.2019 - 22.05.2019,Все пользователи,45
000096,01.05.2019 - 22.05.2019,Новые пользователи,38
000096,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000097,01.05.2019 - 22.05.2019,Все пользователи,53
000097,01.05.2019 - 22.05.2019,Новые пользователи,43
000097,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000098,01.05.2019 - 22.05.2019,Все пользователи,60
000098,01.05.2019 - 22.05.2019,Новые пользователи,45
000098,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000099,01.05.2019 - 22.05.2019,Все пользователи,36
000099,01.05.2019 - 22.05.2019,Новые пользователи,26
000099,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000100,01.05.2019 - 22.05.2019,Все пользователи,54
000100,01.05.2019 - 22.05.2019,Новые пользователи,40
000100,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000101,01.05.2019 - 22.05.2019,Все пользователи,49
000101,01.05.2019 - 22.05.2019,Новые пользователи,40
000101,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000102,01.05.2019 - 22.05.2019,Все пользователи,59
000102,01.05.2019 - 22.05.2019,Новые пользователи,48
000102,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000103,01.05.2019 - 22.05.2019,Все пользователи,68
000103,01.05.2019 - 22.05.2019,Новые пользователи,54
000103,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000104,01.05.2019 - 22.05.2019,Все пользователи,72
000104,01.05.2019 - 22.05.2019,Новые пользователи,47
000104,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000105,01.05.2019 - 22.05.2019,Все пользователи,90
000105,01.05.2019 - 22.05.2019,Новые пользователи,63
000105,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000106,01.05.2019 - 22.05.2019,Все пользователи,108
000106,01.05.2019 - 22.05.2019,Новые пользователи,79
000106,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000107,01.05.2019 - 22.05.2019,Все пользователи,75
000107,01.05.2019 - 22.05.2019,Новые пользователи,56
000107,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000108,01.05.2019 - 22.05.2019,Все пользователи,65
000108,01.05.2019 - 22.05.2019,Новые пользователи,46
000108,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000109,01.05.2019 - 22.05.2019,Все пользователи,56
000109,01.05.2019 - 22.05.2019,Новые пользователи,38
000109,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000110,01.05.2019 - 22.05.2019,Все пользователи,70
000110,01.05.2019 - 22.05.2019,Новые пользователи,54
000110,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000111,01.05.2019 - 22.05.2019,Все пользователи,80
000111,01.05.2019 - 22.05.2019,Новые пользователи,56
000111,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000112,01.05.2019 - 22.05.2019,Все пользователи,66
000112,01.05.2019 - 22.05.2019,Новые пользователи,49
000112,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000113,01.05.2019 - 22.05.2019,Все пользователи,72
000113,01.05.2019 - 22.05.2019,Новые пользователи,51
000113,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000114,01.05.2019 - 22.05.2019,Все пользователи,71
000114,01.05.2019 - 22.05.2019,Новые пользователи,56
000114,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000115,01.05.2019 - 22.05.2019,Все пользователи,84
000115,01.05.2019 - 22.05.2019,Новые пользователи,67
000115,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000116,01.05.2019 - 22.05.2019,Все пользователи,78
000116,01.05.2019 - 22.05.2019,Новые пользователи,55
000116,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000117,01.05.2019 - 22.05.2019,Все пользователи,67
000117,01.05.2019 - 22.05.2019,Новые пользователи,46
000117,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000118,01.05.2019 - 22.05.2019,Все пользователи,78
000118,01.05.2019 - 22.05.2019,Новые пользователи,53
000118,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000119,01.05.2019 - 22.05.2019,Все пользователи,67
000119,01.05.2019 - 22.05.2019,Новые пользователи,49
000119,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000120,01.05.2019 - 22.05.2019,Все пользователи,66
000120,01.05.2019 - 22.05.2019,Новые пользователи,51
000120,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000121,01.05.2019 - 22.05.2019,Все пользователи,62
000121,01.05.2019 - 22.05.2019,Новые пользователи,54
000121,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000122,01.05.2019 - 22.05.2019,Все пользователи,80
000122,01.05.2019 - 22.05.2019,Новые пользователи,60
000122,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000123,01.05.2019 - 22.05.2019,Все пользователи,69
000123,01.05.2019 - 22.05.2019,Новые пользователи,53
000123,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000124,01.05.2019 - 22.05.2019,Все пользователи,64
000124,01.05.2019 - 22.05.2019,Новые пользователи,51
000124,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000125,01.05.2019 - 22.05.2019,Все пользователи,89
000125,01.05.2019 - 22.05.2019,Новые пользователи,61
000125,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000126,01.05.2019 - 22.05.2019,Все пользователи,130
000126,01.05.2019 - 22.05.2019,Новые пользователи,92
000126,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000127,01.05.2019 - 22.05.2019,Все пользователи,148
000127,01.05.2019 - 22.05.2019,Новые пользователи,95
000127,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000128,01.05.2019 - 22.05.2019,Все пользователи,136
000128,01.05.2019 - 22.05.2019,Новые пользователи,88
000128,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000129,01.05.2019 - 22.05.2019,Все пользователи,152
000129,01.05.2019 - 22.05.2019,Новые пользователи,108
000129,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000130,01.05.2019 - 22.05.2019,Все пользователи,165
000130,01.05.2019 - 22.05.2019,Новые пользователи,109
000130,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000131,01.05.2019 - 22.05.2019,Все пользователи,171
000131,01.05.2019 - 22.05.2019,Новые пользователи,115
000131,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000132,01.05.2019 - 22.05.2019,Все пользователи,186
000132,01.05.2019 - 22.05.2019,Новые пользователи,125
000132,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,47
000133,01.05.2019 - 22.05.2019,Все пользователи,171
000133,01.05.2019 - 22.05.2019,Новые пользователи,94
000133,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000134,01.05.2019 - 22.05.2019,Все пользователи,175
000134,01.05.2019 - 22.05.2019,Новые пользователи,108
000134,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000135,01.05.2019 - 22.05.2019,Все пользователи,168
000135,01.05.2019 - 22.05.2019,Новые пользователи,111
000135,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000136,01.05.2019 - 22.05.2019,Все пользователи,137
000136,01.05.2019 - 22.05.2019,Новые пользователи,91
000136,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000137,01.05.2019 - 22.05.2019,Все пользователи,110
000137,01.05.2019 - 22.05.2019,Новые пользователи,76
000137,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000138,01.05.2019 - 22.05.2019,Все пользователи,128
000138,01.05.2019 - 22.05.2019,Новые пользователи,92
000138,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,50
000139,01.05.2019 - 22.05.2019,Все пользователи,141
000139,01.05.2019 - 22.05.2019,Новые пользователи,105
000139,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,42
000140,01.05.2019 - 22.05.2019,Все пользователи,81
000140,01.05.2019 - 22.05.2019,Новые пользователи,58
000140,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000141,01.05.2019 - 22.05.2019,Все пользователи,81
000141,01.05.2019 - 22.05.2019,Новые пользователи,55
000141,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000142,01.05.2019 - 22.05.2019,Все пользователи,107
000142,01.05.2019 - 22.05.2019,Новые пользователи,81
000142,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,36
000143,01.05.2019 - 22.05.2019,Все пользователи,89
000143,01.05.2019 - 22.05.2019,Новые пользователи,66
000143,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000144,01.05.2019 - 22.05.2019,Все пользователи,95
000144,01.05.2019 - 22.05.2019,Новые пользователи,77
000144,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000145,01.05.2019 - 22.05.2019,Все пользователи,86
000145,01.05.2019 - 22.05.2019,Новые пользователи,71
000145,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000146,01.05.2019 - 22.05.2019,Все пользователи,84
000146,01.05.2019 - 22.05.2019,Новые пользователи,66
000146,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000147,01.05.2019 - 22.05.2019,Все пользователи,95
000147,01.05.2019 - 22.05.2019,Новые пользователи,76
000147,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000148,01.05.2019 - 22.05.2019,Все пользователи,87
000148,01.05.2019 - 22.05.2019,Новые пользователи,67
000148,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000149,01.05.2019 - 22.05.2019,Все пользователи,118
000149,01.05.2019 - 22.05.2019,Новые пользователи,94
000149,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000150,01.05.2019 - 22.05.2019,Все пользователи,142
000150,01.05.2019 - 22.05.2019,Новые пользователи,98
000150,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000151,01.05.2019 - 22.05.2019,Все пользователи,190
000151,01.05.2019 - 22.05.2019,Новые пользователи,122
000151,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
